hole_id,dataset_id,project_id,campaign_id,depth_m,azimuth_deg,dip_deg
QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,38.012787504,-83.937183959
QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,50.000000000,38.012787504,-83.937183959
QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,100.000000000,38.012787504,-83.937183959
QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,150.000000000,38.012787504,-83.937183959
QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,200.000000000,38.012787504,-83.937183959
QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,246.068704921,38.012787504,-83.937183959
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,10.323136830,-85.000000000
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,50.000000000,10.323136830,-85.000000000
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,100.000000000,10.323136830,-85.000000000
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,150.000000000,10.323136830,-85.000000000
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,200.000000000,10.323136830,-85.000000000
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,250.000000000,10.323136830,-85.000000000
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,300.000000000,10.323136830,-85.000000000
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,307.295773684,10.323136830,-85.000000000
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,329.676863169,-85.000000000
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,50.000000000,329.676863169,-85.000000000
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,100.000000000,329.676863169,-85.000000000
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,150.000000000,329.676863169,-85.000000000
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,200.000000000,329.676863169,-85.000000000
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,250.000000000,329.676863169,-85.000000000
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,300.000000000,329.676863169,-85.000000000
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,350.000000000,329.676863169,-85.000000000
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,371.052234362,329.676863169,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,301.987212497,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,50.000000000,301.987212497,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,100.000000000,301.987212497,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,150.000000000,301.987212497,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,200.000000000,301.987212497,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,250.000000000,301.987212497,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,300.000000000,301.987212497,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,350.000000000,301.987212497,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,400.000000000,301.987212497,-85.000000000
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,439.297604962,301.987212497,-85.000000000
QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,63.300755769,-83.525681142
QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,50.000000000,63.300755769,-83.525681142
QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,100.000000000,63.300755769,-83.525681142
QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,150.000000000,63.300755769,-83.525681142
QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,200.000000000,63.300755769,-83.525681142
QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,220.000000000,63.300755769,-83.525681142
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,38.012787502,-85.000000000
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,50.000000000,38.012787502,-85.000000000
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,100.000000000,38.012787502,-85.000000000
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,150.000000000,38.012787502,-85.000000000
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,200.000000000,38.012787502,-85.000000000
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,250.000000000,38.012787502,-85.000000000
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,250.840441124,38.012787502,-85.000000000
